choice,nbhd_median_income,rentgrs,nbhd_mean_hhsize,nearby_median_income,nearby_mean_hhsize,singleFamily
03768_SF,132000.0,2481.735294117647,2.3708609271523198,46150.0,2.624773960216998,True
03769_MF,56000.0,1221.8859649122808,2.313131313131305,46100.0,2.605374823196599,False
03769_SF,56000.0,1644.725,2.3131313131313123,46100.0,2.6053748231966027,True
05901_MF,99000.0,1788.4190476190477,2.327390599675851,79500.0,2.4142661179698184,False
05901_SF,99000.0,2839.1311475409834,2.327390599675851,79500.0,2.4142661179698193,True
05902_MF,113015.0,1949.5777777777778,2.6071428571428585,76000.0,2.3995098039215708,False
05902_SF,113015.0,2698.4411764705883,2.6071428571428577,76000.0,2.3995098039215694,True
05903_MF,103100.0,2068.8483146067415,2.1700356718192637,75800.0,2.542857142857144,False
05903_SF,103100.0,2475.5125,2.1700356718192597,75800.0,2.542857142857144,True
05904_MF,133000.0,2091.8542510121456,2.2706521739130485,56000.0,3.0236966824644487,False
05904_SF,133000.0,2889.635294117647,2.270652173913047,56000.0,3.0236966824644522,True
05905_MF,105860.0,1855.248366013072,2.704125177809387,64000.0,2.9910141206675154,False
05905_SF,105860.0,2476.408163265306,2.704125177809389,64000.0,2.991014120667526,True
05906_MF,108050.0,1501.5533980582525,2.7845070422535194,57600.0,3.0180305131761433,False
05906_SF,108050.0,2353.5593220338983,2.7845070422535225,57600.0,3.0180305131761433,True
05907_MF,98100.0,1481.7900552486187,2.6224350205198417,53000.0,3.0317880794701875,False
05907_SF,98100.0,2083.3387096774195,2.622435020519836,53000.0,3.0317880794702012,True
05908_MF,92400.0,1587.1221374045801,2.665718349928872,52000.0,2.7902621722846512,False
05908_SF,92400.0,2171.641025641026,2.665718349928879,52000.0,2.7902621722846486,True
05909_MF,72000.0,1466.032258064516,2.942553191489362,52350.0,2.9922737306843197,False
05909_SF,72000.0,2080.153846153846,2.9425531914893637,52350.0,2.9922737306843286,True
05910_MF,96950.0,1627.5274725274726,2.6737891737891606,54200.0,2.9521963824289483,False
05910_SF,96950.0,1971.25,2.673789173789174,54200.0,2.9521963824289426,True
05911_MF,106000.0,1551.2673267326732,2.553271028037386,50000.0,3.5053254437869845,False
05911_SF,106000.0,2090.953488372093,2.5532710280373854,50000.0,3.5053254437869823,True
05912_MF,70200.0,1439.6114649681529,2.8405315614617868,56000.0,2.8985823336968344,False
05912_SF,70200.0,1896.7682926829268,2.840531561461796,56000.0,2.8985823336968433,True
05913_MF,73000.0,1335.4397163120568,3.100000000000007,43100.0,3.3655660377358463,False
05913_SF,73000.0,1774.7432432432433,3.099999999999996,43100.0,3.3655660377358463,True
